Expected_Output,NNet_Output
6112,0,0.329180435880477
954,0,0.0367656648870525
6080,0,0.242244616691305
8587,1,0.990289828804138
2097,0,0.0347480840239293
3902,0,-0.0236953653301017
2099,0,0.0721290911318724
9122,1,0.521802670772314
3752,0,-0.012758457840379
8293,1,0.172207516463032
1251,0,0.354846450975962
4988,0,-0.256788224744645
8906,1,0.0824564101784775
3996,0,0.156966534159169
8097,1,0.095180514800471
7446,0,0.0316679029629412
574,0,0.908505942705968
3872,0,0.167800018430307
753,0,0.104372060402008
9140,1,0.284808343739427
7228,0,-0.00290209236345851
1407,0,0.503764985715147
6337,0,0.00268172550726575
1581,0,0.162273027663576
10308,1,0.889551869825217
2531,0,0.0214798253263293
8215,1,0.171322680535124
5408,0,0.0307604978729214
3942,0,-0.0564033012944656
5208,0,0.237317214702995
2664,0,-0.0342430068663969
6349,0,0.511541018482817
3268,0,-0.0352499729896704
8810,1,0.641974527126382
72,0,0.982101918939337
7832,0,0.103085514423345
3592,0,0.0854512517710032
4351,0,0.0337913689071651
8731,1,0.572864463779812
10364,1,0.347662213482088
2040,0,0.23417792035136
3467,0,0.0646712360218656
1832,0,-0.276868470453071
6955,0,0.346262990477845
3365,0,0.40981508354715
10485,1,0.341774125991952
1884,0,-0.154061054769523
10028,1,0.116468759094442
2584,0,0.411506372673148
4255,0,-0.0142272332398943
7431,0,-0.0743241803918424
2112,0,-0.0359659027022817
6114,0,0.0125492619129628
9575,1,0.994240023664287
8738,1,0.0830093144969534
3946,0,-0.260187465026502
388,0,-0.10742682100418
961,0,0.482182079615264
914,0,0.0966006940573994
4962,0,0.156369768642221
2337,0,0.016547611455591
7754,0,0.893397545269609
477,0,-0.251598021387513
2277,0,0.665537177570547
5388,0,0.136708418226446
2792,0,-0.053747276150822
5082,0,0.41965465718868
7888,0,-0.188480312897338
6526,0,0.336381645475748
9082,1,0.252921839611633
3004,0,-0.0090866941266331
368,0,-0.0238954575267293
6306,0,-0.0141090491663913
8378,1,0.994240026450735
7513,0,0.628644109169822
9969,1,0.407902549729099
10369,1,0.113328920253955
5314,0,0.410866995467242
7346,0,-0.0499044357962891
10185,1,0.913419847173109
4130,0,0.112953067821747
5817,0,0.180441457126859
3977,0,0.0130154936013916
4316,0,0.889875709846594
2142,0,-0.031013697010239
9092,1,0.623101478099862
2456,0,0.0366357468139875
300,0,0.00989633340791096
4019,0,-0.00568196697233148
1225,0,0.023524914315542
6204,0,1.00844120248883
1970,0,0.438243300673368
8018,1,0.651908980802595
8535,1,-0.408228147198723
6646,0,-0.00196588674419695
2498,0,0.375049496787868
6620,0,0.435532838225816
987,0,0.0137042512839776
4149,0,0.36328831442301
10413,1,0.988299136734235
851,0,0.0299808560152032
5487,0,0.0703392724793367
366,0,-0.0204967718949443
5058,0,0.448976488624273
2212,0,0.0161021955730496
5523,0,0.0710188725510054
6845,0,0.514412398595986
764,0,0.361883557570725
3865,0,0.0213170855084467
458,0,0.0242634498271349
7174,0,0.0429663599479832
8391,1,0.337261306043625
787,0,0.0383974494172773
2445,0,-0.0859370723041273
4751,0,0.0717835488869757
903,0,0.035514248112003
9326,1,0.698565753670888
9676,1,0.452162216685239
4897,0,-0.161584318447299
4254,0,-0.0487944960178721
8405,1,0.623415552216435
4376,0,-0.000348547288941625
10154,1,0.148645203620537
9877,1,0.672123643602527
2419,0,0.241131870156536
8490,1,0.237318173796901
1422,0,0.0546763665984031
10496,1,0.0614251580544157
7582,0,0.0804367259010053
5292,0,0.0950018860584279
10479,1,0.339012706491586
